datetime,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
202109030000,34,26,22,50,32,23,10,15,53,11,22,16,22,32,32,27,22,51,34,26,15,18,49,11,22,19,21,32
202109030015,31,22,20,51,33,18,8,13,48,9,21,17,20,24,30,23,20,51,34,21,12,15,45,9,21,19,19,24
202109030030,26,21,16,41,31,16,7,12,44,12,17,18,21,24,25,22,16,42,32,18,11,14,41,12,18,20,20,24
202109030045,24,19,16,44,28,15,5,12,41,10,18,15,19,20,22,20,16,45,29,17,9,14,38,10,18,17,18,20
202109030100,20,16,14,40,27,13,4,11,40,10,16,12,17,20,18,17,14,41,28,16,8,13,37,10,16,14,16,20
202109030130,20,14,11,40,24,9,2,8,34,11,13,11,13,17,19,15,11,41,25,12,6,10,31,10,13,13,13,17
202109030145,18,16,11,37,21,9,3,8,33,10,11,11,13,15,17,17,11,38,22,11,6,10,31,9,11,13,13,15
202109030200,17,15,11,32,19,7,2,9,35,9,13,8,12,12,16,16,11,33,20,10,6,11,32,8,13,10,11,12
202109030215,17,11,10,33,21,8,2,8,32,6,13,8,9,12,15,12,10,34,22,10,5,10,30,6,13,10,9,12
202109030230,15,12,9,30,21,7,2,7,32,5,10,7,8,11,13,13,9,31,22,9,5,9,30,5,10,9,8,11
202109030245,14,12,9,30,19,7,1,6,34,6,10,6,8,11,13,13,9,31,20,10,5,8,31,6,10,8,8,11
202109030300,13,12,10,31,20,5,2,7,32,9,7,8,8,15,12,13,10,32,21,8,5,9,30,8,7,10,8,15
202109030315,13,10,7,30,16,5,0,5,28,8,8,6,8,12,12,11,7,31,18,8,3,7,26,7,8,8,8,11
202109030330,15,8,5,29,16,6,0,5,28,6,8,6,10,11,14,9,5,30,18,8,3,7,26,6,8,8,9,10
202109030345,12,8,5,27,15,6,0,5,28,7,10,5,9,11,11,9,5,28,16,8,3,7,26,7,10,7,9,10
202109030400,11,7,4,28,13,6,1,5,25,7,10,4,9,12,10,8,4,29,15,8,4,7,23,7,10,6,8,11
202109030415,12,8,0,27,13,8,2,6,24,5,7,4,8,11,10,9,0,28,15,10,4,8,22,5,7,6,7,10
202109030430,11,8,0,26,12,6,2,7,25,4,7,4,9,11,9,9,0,27,14,8,5,9,23,4,7,6,8,10
202109030445,11,7,0,27,13,4,2,7,26,4,7,4,10,11,9,8,0,28,15,6,5,9,24,4,8,6,9,10
202109030500,11,9,5,25,12,5,2,6,27,6,6,7,11,9,9,10,5,26,14,7,5,8,25,6,7,8,10,9
202109030515,9,12,7,26,11,4,4,9,26,6,8,7,9,9,7,12,7,27,13,6,6,11,24,6,8,8,9,9
202109030530,8,12,9,27,13,7,5,10,24,7,9,8,10,11,6,12,9,28,14,9,7,12,23,7,9,9,10,11
202109030545,16,20,12,37,17,9,6,16,35,11,12,13,14,12,14,20,11,38,19,11,9,17,33,11,12,14,14,12
202109030600,18,21,12,44,22,15,8,20,48,13,17,14,19,16,17,21,12,44,23,18,12,22,45,13,18,16,18,16
202109030615,16,24,14,45,22,17,10,27,45,14,20,19,19,15,15,24,14,45,23,20,14,28,42,14,20,20,19,15
202109030630,19,23,16,43,26,17,12,30,47,17,21,22,20,18,18,23,16,43,27,20,16,31,44,17,21,23,20,18
202109030645,22,20,17,50,25,18,11,37,50,20,23,22,20,23,21,20,17,50,26,21,15,38,47,19,23,24,20,23
202109030700,29,27,24,52,29,24,11,35,55,26,25,26,21,22,28,27,23,53,31,27,16,36,51,25,25,27,21,23
202109030715,32,29,25,47,31,31,15,38,68,29,26,37,25,29,31,30,25,48,33,34,21,40,63,28,26,38,26,29
202109030730,37,31,28,50,37,29,14,53,66,29,24,38,23,29,35,32,27,51,39,32,20,54,61,28,24,39,24,30
202109030745,33,28,25,49,44,32,15,52,69,30,26,40,28,29,32,29,25,50,45,35,21,53,64,29,27,41,29,29
202109030800,37,34,26,58,46,36,15,47,67,33,30,36,28,26,36,34,25,59,47,38,21,48,63,32,30,37,28,27
202109030815,38,31,27,56,51,34,13,39,62,31,24,31,32,27,37,32,26,57,52,36,18,40,58,30,25,33,31,28
202109030830,35,28,25,53,47,32,15,33,56,29,24,34,29,17,34,29,24,54,48,34,19,34,52,28,25,34,29,18
202109030845,34,24,23,54,43,24,17,34,53,28,24,31,25,17,33,25,22,55,44,26,21,35,50,27,25,31,25,18
202109030900,33,27,17,55,39,26,13,39,48,27,22,30,28,18,32,28,16,56,40,28,17,40,45,26,23,30,28,18
202109030915,31,24,16,48,43,21,12,36,47,31,22,29,26,20,30,25,16,49,44,23,16,37,44,30,23,30,26,20
202109030930,37,26,19,49,44,23,12,33,48,28,20,30,30,21,36,27,18,50,45,25,16,34,45,27,22,31,30,21
202109030945,37,21,19,43,49,19,9,34,49,31,21,31,29,21,36,23,19,45,50,22,13,35,46,29,22,32,29,21
202109031000,36,25,20,43,53,20,13,35,47,32,22,32,20,22,36,26,19,44,53,22,16,36,44,31,22,33,21,22
202109031015,45,26,19,48,47,24,13,33,47,31,20,28,19,18,44,28,18,50,48,26,17,34,44,30,20,29,19,18
202109031030,41,26,17,53,47,18,13,40,49,32,22,32,19,20,40,28,17,55,48,21,17,41,46,31,22,33,20,20
202109031045,43,25,18,50,55,20,14,35,50,28,20,31,23,17,42,27,17,52,56,23,18,36,47,27,21,31,23,17
202109031100,45,31,19,54,56,22,14,36,46,34,23,34,25,15,44,32,18,56,57,24,17,37,43,33,24,34,25,16
202109031115,44,34,17,56,52,23,16,35,45,30,21,28,27,14,43,35,16,58,53,25,19,36,43,29,22,28,27,14
202109031130,45,31,19,54,55,24,14,32,50,27,21,28,27,16,44,32,18,56,56,26,18,33,47,26,22,29,27,16
202109031145,45,34,18,55,59,25,13,37,50,26,26,30,26,16,44,35,17,57,60,27,17,38,47,25,26,31,26,16
202109031200,54,38,18,58,62,33,13,45,52,31,28,32,29,16,53,39,17,60,63,34,17,46,49,30,29,32,29,16
202109031215,49,46,16,62,63,29,14,42,53,28,20,32,33,20,48,46,16,63,63,31,18,43,49,27,22,33,32,20
202109031230,56,45,21,64,55,32,15,42,54,27,21,26,31,21,55,46,20,66,57,33,19,43,51,26,23,27,30,22
202109031245,49,39,18,61,55,25,14,40,49,25,21,28,34,18,48,40,17,62,56,27,18,41,46,24,23,29,33,18
202109031300,49,37,15,58,53,27,13,39,46,30,28,26,34,16,48,38,14,60,54,28,16,40,43,29,29,27,33,16
202109031315,48,34,14,59,56,25,13,36,42,30,27,22,26,16,47,35,14,61,57,26,16,37,40,29,27,23,25,16
202109031330,46,28,18,58,54,24,12,32,40,27,23,25,23,16,45,30,17,60,55,25,15,33,38,26,23,26,23,16
202109031345,51,31,18,54,60,25,14,33,38,27,25,22,24,18,50,33,17,56,61,26,17,34,36,26,25,23,23,18
202109031400,45,28,19,55,62,25,14,38,39,26,21,26,29,16,45,30,18,56,62,26,17,39,37,25,22,27,28,17
202109031415,49,28,21,51,56,25,14,34,39,23,22,24,29,16,48,30,20,53,57,26,17,35,37,22,23,25,28,17
202109031430,43,25,21,56,58,25,13,33,42,27,22,21,27,15,42,27,20,58,59,26,16,34,40,26,23,22,26,16
202109031445,46,26,24,52,56,26,13,36,37,31,19,24,31,15,45,28,23,54,57,27,15,37,35,30,21,25,30,16
202109031500,50,25,20,52,57,25,11,33,41,33,24,24,29,18,49,28,19,54,58,26,14,34,39,31,25,25,28,18
202109031515,48,26,18,58,60,27,12,33,43,31,19,25,26,18,47,28,17,60,61,28,15,34,40,30,20,26,25,18
202109031530,47,29,19,58,71,25,15,36,49,32,23,23,26,19,47,31,18,59,71,27,19,37,46,31,24,24,25,19
202109031545,51,31,18,54,65,21,13,37,48,31,24,20,26,19,50,33,18,56,66,23,17,38,45,30,25,22,25,19
202109031600,52,32,20,60,69,25,14,35,49,26,25,26,26,21,52,34,20,62,69,27,18,36,46,25,26,27,26,21
202109031615,54,29,23,59,71,27,11,38,45,26,24,25,20,20,54,32,22,61,71,28,15,39,42,25,24,26,20,21
202109031630,53,30,20,61,71,26,11,43,46,31,23,32,26,22,53,32,20,63,71,27,15,44,43,30,24,33,26,22
202109031645,63,31,29,57,73,25,11,58,53,26,29,49,26,26,62,34,28,60,74,27,15,59,49,25,29,49,27,27
202109031700,70,34,26,60,84,35,13,58,58,29,29,44,29,24,69,37,25,63,84,36,18,59,54,28,30,44,30,25
202109031715,64,37,24,62,87,35,12,62,58,31,31,48,31,25,64,40,23,65,87,36,17,62,54,30,32,48,32,25
202109031730,67,39,27,62,84,37,15,61,55,33,32,50,30,27,67,42,26,65,84,38,19,62,51,32,32,50,31,28
202109031745,68,37,30,64,91,43,18,64,61,34,39,54,32,26,68,40,29,67,91,44,23,65,57,33,39,54,33,27
202109031800,74,41,29,66,95,52,21,61,71,39,48,50,34,29,74,44,28,69,95,53,26,62,66,38,47,50,35,30
202109031815,90,47,32,70,97,45,21,55,70,33,47,46,38,30,89,51,31,74,98,46,26,56,66,32,47,47,38,31
202109031830,107,51,35,82,104,54,20,61,74,35,51,47,38,28,105,56,34,87,106,54,26,62,69,34,50,48,38,29
202109031845,119,55,33,84,103,61,20,57,78,32,54,43,36,33,117,61,32,89,106,61,26,58,73,31,53,45,36,34
202109031900,125,51,33,88,104,54,17,55,84,32,63,41,40,35,123,57,33,93,107,55,24,56,78,31,61,43,39,36
202109031915,122,52,35,89,109,51,18,57,88,33,69,43,39,38,120,58,35,94,111,53,26,58,82,32,67,45,39,39
202109031930,129,63,40,82,109,53,19,57,93,29,74,38,39,33,127,68,39,88,112,55,27,58,86,28,71,40,38,35
202109031945,130,69,40,89,104,50,20,49,94,27,76,40,41,31,127,74,39,95,107,53,28,50,87,26,73,42,40,33
202109032000,130,64,40,98,112,47,20,49,92,26,80,42,44,34,128,70,39,103,114,50,28,51,85,25,77,44,43,35
202109032015,130,62,42,88,106,52,20,45,85,30,77,38,40,36,128,68,41,94,109,54,27,47,79,29,74,40,39,37
