datetime,1,2,3,4,5
202109040745,10.0,8.0,33.0,10.0,5.0
202109040800,11.0,8.0,33.0,12.0,7.0
202109040815,9.0,7.0,26.0,12.0,6.0
202109040830,9.0,9.0,32.0,11.0,7.0
202109040845,10.0,10.0,31.0,11.0,6.0
202109040900,12.0,9.0,34.0,13.0,5.0
202109040915,10.0,8.0,34.0,9.0,5.0
202109040930,10.0,8.0,39.0,11.0,4.0
202109040945,10.0,7.0,42.0,14.0,4.0
202109041000,9.0,8.0,45.0,15.0,5.0
202109041015,8.0,9.0,31.0,12.0,4.0
202109041030,8.0,9.0,33.0,12.0,5.0
202109041045,9.0,10.0,35.0,10.0,4.0
202109041100,11.0,12.0,33.0,11.0,8.0
202109041115,10.0,13.0,34.0,12.0,7.0
202109041130,10.0,11.0,37.0,13.0,7.0
202109041145,8.0,11.0,39.0,12.0,6.0
202109041200,9.0,9.0,48.0,10.0,5.0
202109041215,10.0,8.0,61.0,8.0,5.0
202109041230,11.0,9.0,52.0,10.0,6.0
202109041245,11.0,8.0,41.0,9.0,7.0
202109041300,11.0,10.0,38.0,10.0,7.0
202109041315,10.0,11.0,33.0,10.0,7.0
202109041330,9.0,11.0,34.0,11.0,7.0
202109041345,9.0,9.0,31.0,11.0,4.0
202109041400,9.0,10.0,37.0,12.0,5.0
202109041415,10.0,10.0,37.0,12.0,7.0
202109041430,12.0,11.0,38.0,15.0,7.0
202109041445,10.0,12.0,40.0,11.0,7.0
202109041500,10.0,11.0,41.0,12.0,5.0
202109041515,8.0,12.0,36.0,11.0,8.0
202109041530,10.0,11.0,42.0,13.0,9.0
202109041545,7.0,9.0,37.0,14.0,9.0
202109041600,10.0,11.0,38.0,15.0,8.0
202109041615,9.0,10.0,45.0,14.0,8.0
202109041630,11.0,12.0,42.0,12.0,9.0
202109041645,9.0,10.0,48.0,12.0,10.0
202109041700,11.0,10.0,44.0,9.0,9.0
202109041715,9.0,10.0,42.0,11.0,6.0
202109041730,10.0,10.0,43.0,14.0,7.0
202109041745,9.0,12.0,51.0,12.0,6.0
202109041800,8.0,14.0,48.0,11.0,6.0
202109041815,9.0,15.0,52.0,11.0,6.0
202109041830,7.0,15.0,53.0,11.0,6.0
202109041845,9.0,13.0,40.0,12.0,6.0
202109041900,10.0,16.0,42.0,12.0,5.0
202109041915,8.0,17.0,45.0,15.0,6.0
202109041930,7.0,17.0,40.0,14.0,6.0
202109041945,8.0,20.0,35.0,10.0,6.0
202109042000,9.0,19.0,36.0,10.0,7.0
202109042015,10.0,18.0,32.0,8.0,6.0
202109042030,11.0,21.0,33.0,8.0,5.0
202109042045,8.0,18.0,36.0,6.0,8.0
202109042100,9.0,20.0,37.0,8.0,7.0
202109042115,8.0,18.0,35.0,6.0,4.0
202109042130,6.0,16.0,31.0,5.0,5.0
202109042145,8.0,15.0,33.0,5.0,4.0
202109042200,9.0,20.0,31.0,6.0,5.0
202109042215,10.0,19.0,27.0,7.0,5.0
202109042230,10.0,20.0,30.0,6.0,3.0
202109042245,9.0,17.0,32.0,8.0,4.0
202109042300,7.0,15.0,36.0,6.0,5.0
202109042315,7.0,13.0,39.0,8.0,6.0
202109042330,7.0,15.0,33.0,10.0,4.0
202109042345,6.0,14.0,27.0,10.0,4.0
202109050000,7.0,18.0,25.0,7.0,3.0
202109050015,5.0,15.0,25.0,5.0,3.0
202109050030,5.0,13.0,25.0,6.0,3.0
202109050045,4.0,12.0,18.0,5.0,3.0
202109050100,5.0,12.0,20.0,5.0,2.0
202109050115,2.0,12.0,20.0,4.0,1.0
202109050130,2.0,10.0,21.0,4.0,1.0
202109050145,2.0,9.0,19.0,5.0,3.0
202109050200,4.0,10.0,22.0,7.0,2.0
202109050215,3.0,9.0,19.0,6.0,2.0
202109050230,3.0,8.0,16.0,4.0,2.0
202109050245,3.0,7.0,17.0,4.0,2.0
202109050300,4.0,8.0,16.0,5.0,1.0
202109050315,3.0,10.0,19.0,4.0,0.0
202109050330,4.0,10.0,17.0,5.0,0.0
202109050345,3.0,13.0,16.0,7.0,0.0
202109050400,2.0,14.0,17.0,3.0,0.0
202109050415,0.0,13.0,17.0,3.0,0.0
202109050430,0.0,14.0,16.0,3.0,0.0
202109050445,0.0,14.0,15.0,3.0,0.0
202109050500,2.0,9.0,12.0,4.0,1.0
202109050515,1.0,9.0,14.0,3.0,1.0
202109050530,2.0,10.0,15.0,5.0,2.0
202109050545,3.0,8.0,21.0,3.0,2.0
202109050600,3.0,8.0,21.0,3.0,3.0
202109050615,3.0,7.0,23.0,2.0,4.0
202109050630,6.0,8.0,25.0,3.0,5.0
202109050645,5.0,8.0,26.0,3.0,5.0
202109050700,7.0,9.0,33.0,7.0,5.0
202109050715,8.0,9.0,37.0,9.0,6.0
202109050730,10.0,12.0,32.0,7.0,7.0
202109050745,9.0,11.0,31.0,7.0,6.0
202109050800,10.0,9.0,35.0,7.0,4.0
202109050815,11.0,9.0,33.0,6.0,5.0
202109050830,7.0,8.0,36.0,4.0,4.0
202109050845,11.0,10.0,35.0,4.0,5.0
202109050900,10.0,10.0,36.0,4.0,5.0
202109050915,10.0,12.0,32.0,7.0,5.0
202109050930,11.0,13.0,32.0,6.0,8.0
202109050945,11.0,9.0,34.0,9.0,9.0
202109051000,8.0,10.0,44.0,12.0,6.0
202109051015,10.0,12.0,36.0,9.0,6.0
202109051030,11.0,10.0,38.0,8.0,5.0
202109051045,9.0,10.0,40.0,9.0,8.0
202109051100,8.0,12.0,35.0,8.0,9.0
202109051115,10.0,15.0,35.0,7.0,9.0
202109051130,11.0,16.0,34.0,10.0,7.0
202109051145,10.0,15.0,33.0,8.0,7.0
202109051200,10.0,17.0,45.0,9.0,7.0
202109051215,12.0,13.0,51.0,8.0,7.0
202109051230,13.0,14.0,46.0,9.0,8.0
202109051245,10.0,13.0,35.0,9.0,6.0
202109051300,7.0,14.0,33.0,6.0,7.0
202109051315,8.0,14.0,30.0,5.0,7.0
202109051330,7.0,14.0,34.0,6.0,5.0
202109051345,7.0,14.0,30.0,6.0,7.0
202109051400,7.0,11.0,32.0,10.0,5.0
202109051415,8.0,12.0,30.0,8.0,7.0
202109051430,8.0,11.0,36.0,10.0,6.0
202109051445,11.0,12.0,39.0,8.0,6.0
202109051500,10.0,13.0,40.0,9.0,7.0
202109051515,10.0,12.0,34.0,8.0,6.0
202109051530,11.0,12.0,35.0,9.0,8.0
202109051545,10.0,12.0,34.0,7.0,7.0
202109051600,11.0,12.0,36.0,8.0,9.0
202109051615,8.0,12.0,35.0,9.0,9.0
202109051630,10.0,11.0,41.0,8.0,8.0
202109051645,9.0,10.0,40.0,10.0,8.0
202109051700,10.0,8.0,48.0,11.0,10.0
202109051715,9.0,9.0,43.0,11.0,7.0
202109051730,11.0,11.0,41.0,12.0,8.0
202109051745,11.0,14.0,39.0,13.0,9.0
202109051800,10.0,13.0,41.0,13.0,6.0
202109051815,11.0,11.0,48.0,15.0,7.0
202109051830,10.0,12.0,43.0,14.0,6.0
202109051845,10.0,15.0,38.0,15.0,9.0
202109051900,10.0,15.0,43.0,10.0,7.0
